date,temp_c,precip_mm
2022-04-01,-1.2,-1.0
2022-04-02,-0.9,-1.0
2022-04-03,1.3,-1.0
2022-04-04,1.5,9.7
2022-04-05,-0.6,3.5
2022-04-06,-0.4,0.1
2022-04-07,1.1,6.7
2022-04-08,3.6,1.0
2022-04-09,2.2,1.5
2022-04-10,2.8,-1.0
2022-04-11,5.2,-1.0
2022-04-12,3.6,-1.0
2022-04-13,4.9,-1.0
2022-04-14,2.9,2.5
2022-04-15,4.2,-1.0
2022-04-16,4.3,-1.0
2022-04-17,5.0,-1.0
2022-04-18,7.9,-1.0
2022-04-19,7.8,-1.0
2022-04-20,10.3,-1.0
2022-04-21,9.8,-1.0
2022-04-22,8.8,-1.0
2022-04-23,7.9,-1.0
2022-04-24,7.3,-1.0
2022-04-25,6.8,-1.0
2022-04-26,6.8,-1.0
2022-04-27,3.1,-1.0
2022-04-28,2.6,1.5
2022-04-29,3.5,-1.0
2022-04-30,4.1,-1.0
2022-05-01,6.3,-1.0
2022-05-02,6.9,-1.0
2022-05-03,5.5,-1.0
2022-05-04,5.4,-1.0
2022-05-05,8.3,-1.0
2022-05-06,9.1,-1.0
2022-05-07,7.1,2.0
2022-05-08,7.1,-1.0
2022-05-09,7.0,-1.0
2022-05-10,9.1,7.9
2022-05-11,8.4,-1.0
2022-05-12,8.7,0.3
2022-05-13,10.9,3.2
2022-05-14,9.3,-1.0
2022-05-15,10.5,-1.0
2022-05-16,10.7,1.3
2022-05-17,8.2,-1.0
2022-05-18,11.2,-1.0
2022-05-19,10.1,-1.0
2022-05-20,9.0,-1.0
2022-05-21,9.9,-1.0
2022-05-22,9.4,-1.0
2022-05-23,13.8,-1.0
2022-05-24,14.2,-1.0
2022-05-25,13.6,8.4
2022-05-26,10.4,5.4
2022-05-27,9.5,11.4
2022-05-28,10.3,1.2
2022-05-29,10.8,-1.0
2022-05-30,13.0,1.9
2022-05-31,11.6,3.6
2022-06-01,13.1,9.9
2022-06-02,11.0,10.9
2022-06-03,11.9,1.2
2022-06-04,12.9,1.6
2022-06-05,13.8,-1.0
2022-06-06,14.1,-1.0
2022-06-07,14.7,2.2
2022-06-08,14.9,-1.0
2022-06-09,15.2,-1.0
2022-06-10,17.0,-1.0
2022-06-11,17.8,-1.0
2022-06-12,16.1,-1.0
2022-06-13,14.6,-1.0
2022-06-14,15.3,0.2
2022-06-15,17.9,-1.0
2022-06-16,17.3,-1.0
2022-06-17,17.2,-1.0
2022-06-18,13.8,9.5
2022-06-19,15.7,-1.0
2022-06-20,13.6,0.8
2022-06-21,15.1,-1.0
2022-06-22,17.5,-1.0
2022-06-23,17.5,-1.0
2022-06-24,18.6,-1.0
2022-06-25,20.6,-1.0
2022-06-26,23.4,-1.0
2022-06-27,24.9,-1.0
2022-06-28,23.8,-1.0
2022-06-29,22.0,-1.0
2022-06-30,22.5,-1.0
2022-07-01,22.7,-1.0
2022-07-02,24.2,-1.0
2022-07-03,22.1,-1.0
2022-07-04,20.0,-1.0
2022-07-05,19.6,0.4
2022-07-06,18.1,-1.0
2022-07-07,17.9,-1.0
2022-07-08,17.1,-1.0
2022-07-09,17.1,2.2
2022-07-10,17.5,-1.0
2022-07-11,19.5,-1.0
2022-07-12,20.6,0.9
2022-07-13,19.7,17.8
2022-07-14,17.8,6.3
2022-07-15,16.0,-1.0
2022-07-16,14.1,4.0
2022-07-17,14.7,1.7
2022-07-18,15.5,0.1
2022-07-19,17.8,0.9
2022-07-20,19.2,-1.0
2022-07-21,20.4,-1.0
2022-07-22,21.5,1.3
2022-07-23,19.2,-1.0
2022-07-24,17.9,0.4
2022-07-25,19.5,-1.0
2022-07-26,19.3,2.2
2022-07-27,17.4,-1.0
2022-07-28,16.5,0.5
2022-07-29,16.2,-1.0
2022-07-30,16.5,0.4
2022-07-31,16.7,-1.0
2022-08-01,17.8,-1.0
2022-08-02,18.4,-1.0
2022-08-03,17.9,-1.0
2022-08-04,21.2,-1.0
2022-08-05,22.9,0.2
2022-08-06,18.6,2.1
2022-08-07,17.1,-1.0
2022-08-08,16.1,0.4
2022-08-09,17.7,-1.0
2022-08-10,17.8,-1.0
2022-08-11,19.0,-1.0
2022-08-12,19.4,-1.0
2022-08-13,19.7,-1.0
2022-08-14,19.5,-1.0
2022-08-15,21.1,-1.0
2022-08-16,23.2,-1.0
2022-08-17,22.6,0.1
2022-08-18,23.2,-1.0
2022-08-19,24.4,-1.0
2022-08-20,23.1,-1.0
2022-08-21,21.4,0.4
2022-08-22,19.1,3.1
2022-08-23,20.1,-1.0
2022-08-24,21.2,-1.0
2022-08-25,17.6,-1.0
2022-08-26,17.0,-1.0
2022-08-27,19.1,-1.0
2022-08-28,21.5,2.1
2022-08-29,15.9,-1.0
2022-08-30,14.9,-1.0
2022-08-31,11.0,-1.0
2022-09-01,11.0,-1.0
